track_name,date_listened,artist_name,ms_played
A Still Life Franchise,2022-09-08T12:38:00Z,Less Than Jake,208800
Gun Fever,2022-10-05T01:03:00Z,The Always Sunny Podcast,663712
Style,2022-10-05T08:52:00Z,Taylor Swift,231000
All You Had To Do Was Stay,2022-10-05T08:55:00Z,Taylor Swift,193293
I Know Places,2022-10-05T08:59:00Z,Taylor Swift,195706
How You Get The Girl,2022-10-05T09:03:00Z,Taylor Swift,247533
This Love,2022-10-05T09:07:00Z,Taylor Swift,250093
Wildest Dreams,2022-10-05T09:11:00Z,Taylor Swift,220440
Welcome To New York,2022-10-05T09:14:00Z,Taylor Swift,212600
You Are In Love,2022-10-05T09:30:00Z,Taylor Swift,74313
'Helden' - German Version 1989 Remix; 2002 Remaster,2022-10-05T16:41:00Z,David Bowie,220706
The Story So Far,2022-09-08T12:40:00Z,[spunge],105991
Forever,2022-10-05T16:45:00Z,Justin Tranter,229200
Twist And Shout - Remastered 2009,2022-10-05T16:47:00Z,The Beatles,155226
Thunderstruck,2022-10-05T16:59:00Z,Steve ´n´ Seagulls,62485
Testament To Youth In Verse,2022-10-05T18:29:00Z,The New Pornographers,1220
Falling Down The Stairs Of Your Smile,2022-10-05T18:33:00Z,The New Pornographers,224493
On My Way,2022-10-06T11:20:00Z,Free,1315
Maybe I’m Amazed - 2011 Remaster,2022-10-06T11:20:00Z,Paul McCartney,788
Cash,2022-10-06T11:20:00Z,love-sadKID,2569
Tea For The Tillerman,2022-10-06T11:20:00Z,Yusuf / Cat Stevens,650
The Fear,2022-10-06T11:20:00Z,Los Lobos,512
Pumped Up Kid A Mashup: Pumped Up Kicks / Everything In Its Right Place,2022-09-08T12:45:00Z,Pomplamoose,527
Down To Earth,2022-10-06T11:31:00Z,Peter Gabriel,775
Lonely (But Not Alone),2022-10-06T11:31:00Z,Rob Cantor,79806
Let's Get High,2022-10-06T11:38:00Z,Edward Sharpe & The Magnetic Zeros,390133
Disciples,2022-10-06T11:39:00Z,Tame Impala,108546
